OPTION UNITS=cm
MEASURE Seat_Back_Angle=18.4
MEASURE Outseam=97.9
MEASURE Inseam=77.1
MEASURE CROTCH_Height=75.8
MEASURE TrouserWAIST_Circ=88.6
MEASURE HIP_Circ=106.8
MEASURE Knee_Height=26.5
MEASURE Calf_Height=41.3
MEASURE Waist_Height_Back_EZ=99.2
MEASURE TrouserWaist_Height_Back=98.8
MEASURE CrotchLength_Back=31.3
MEASURE CrotchLength_Front=26.5
MEASURE Ankle_Circ=25.70
MEASURE Head_Top_Height=160.9
MEASURE Hip_Height=84.8
MEASURE NeckBase_Circ=35.6
MEASURE Bust_to_Bust=16.6
MEASURE Underbust_Circ=86.1
MEASURE BUST_Circ=92.8
MEASURE Across_Back=35.5
MEASURE Shoulder_to_Shoulder=39.8
MEASURE Neck_Circ=33.6
MEASURE Knee_Circ=41.1
MEASURE Calf_Circ=37.9
MEASURE Bicep_Circ=32.5
MEASURE Elbow_Circ=25.8
MEASURE Wrist_Circ=15.6
MEASURE Shoulder_to_Wrist=57.4
MEASURE Shoulder_Length=12.8
MEASURE SideNeck_to_Bust=30.2
MEASURE NeckSide_to_Wrist=70.2
MEASURE NECK_Height=142.8
MEASURE Thigh_Circ=63.3
MEASURE Across_Front=37.6
MEASURE Shoulder_to_floor_Right=136.8
MEASURE Shoulder_to_floor_Left=135.5
MEASURE TopHip_Circ=93.6
MEASURE TrouserWaist_Height_Front=94.6
MEASURE Bust_Height=116.3
MEASURE Torso_Height=67.0
MEASURE Istumakorkeus=26.8
MEASURE NaturalWAIST_Circ=83.3
MEASURE NaturalWaist_Height=102.6
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=68.2
MEASURE Shoulder_Width_ThruTheBody=35.0
MEASURE Overarm_Width_ThruTheBody=40.7
MEASURE Hip_2_Width_ThruTheBody=42.0
MEASURE Hip_2_Circ=109.3
MEASURE Hip_2_Height=75.8
