OPTION UNITS=cm
MEASURE Seat_Back_Angle=24.9
MEASURE Outseam=93.3
MEASURE Inseam=74.2
MEASURE CROTCH_Height=73.1
MEASURE TrouserWAIST_Circ=85.7
MEASURE HIP_Circ=96.7
MEASURE Knee_Height=30.0
MEASURE Calf_Height=42.9
MEASURE Waist_Height_Back_EZ=95.8
MEASURE TrouserWaist_Height_Back=95.3
MEASURE CrotchLength_Back=31.1
MEASURE CrotchLength_Front=24.3
MEASURE Ankle_Circ=24.08
MEASURE Head_Top_Height=154.6
MEASURE Hip_Height=81.1
MEASURE NeckBase_Circ=36.6
MEASURE Bust_to_Bust=14.8
MEASURE Underbust_Circ=76.6
MEASURE BUST_Circ=89.5
MEASURE Across_Back=34.0
MEASURE Shoulder_to_Shoulder=37.2
MEASURE Neck_Circ=33.8
MEASURE Knee_Circ=35.1
MEASURE Calf_Circ=34.4
MEASURE Bicep_Circ=28.2
MEASURE Elbow_Circ=24.3
MEASURE Wrist_Circ=15.5
MEASURE Shoulder_to_Wrist=52.5
MEASURE Shoulder_Length=12.3
MEASURE SideNeck_to_Bust=26.9
MEASURE NeckSide_to_Wrist=64.7
MEASURE NECK_Height=137.3
MEASURE Thigh_Circ=55.6
MEASURE Across_Front=35.2
MEASURE Shoulder_to_floor_Right=130.8
MEASURE Shoulder_to_floor_Left=132.3
MEASURE TopHip_Circ=89.3
MEASURE TrouserWaist_Height_Front=90.7
MEASURE Bust_Height=115.1
MEASURE Torso_Height=64.3
MEASURE Istumakorkeus=25.7
MEASURE NaturalWAIST_Circ=77.2
MEASURE NaturalWaist_Height=98.8
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=65.7
MEASURE Shoulder_Width_ThruTheBody=33.0
MEASURE Overarm_Width_ThruTheBody=40.2
MEASURE Hip_2_Width_ThruTheBody=37.7
MEASURE Hip_2_Circ=99.9
MEASURE Hip_2_Height=73.6
