OPTION UNITS=cm
MEASURE Seat_Back_Angle=27.7
MEASURE Outseam=99.8
MEASURE Inseam=80.2
MEASURE CROTCH_Height=79.0
MEASURE TrouserWAIST_Circ=83.3
MEASURE HIP_Circ=97.2
MEASURE Knee_Height=31.0
MEASURE Calf_Height=45.4
MEASURE Waist_Height_Back_EZ=101.7
MEASURE TrouserWaist_Height_Back=101.9
MEASURE CrotchLength_Back=29.8
MEASURE CrotchLength_Front=24.6
MEASURE Ankle_Circ=27.73
MEASURE Head_Top_Height=164.0
MEASURE Hip_Height=87.5
MEASURE NeckBase_Circ=34.0
MEASURE Bust_to_Bust=18.8
MEASURE Underbust_Circ=77.2
MEASURE BUST_Circ=96.7
MEASURE Across_Back=36.6
MEASURE Shoulder_to_Shoulder=38.9
MEASURE Neck_Circ=31.5
MEASURE Knee_Circ=36.1
MEASURE Calf_Circ=38.5
MEASURE Bicep_Circ=29.6
MEASURE Elbow_Circ=23.8
MEASURE Wrist_Circ=15.1
MEASURE Shoulder_to_Wrist=56.9
MEASURE Shoulder_Length=12.5
MEASURE SideNeck_to_Bust=25.9
MEASURE NeckSide_to_Wrist=69.4
MEASURE NECK_Height=144.8
MEASURE Thigh_Circ=57.3
MEASURE Across_Front=35.3
MEASURE Shoulder_to_floor_Right=136.8
MEASURE Shoulder_to_floor_Left=137.8
MEASURE TopHip_Circ=88.1
MEASURE TrouserWaist_Height_Front=97.0
MEASURE Bust_Height=124.0
MEASURE Torso_Height=65.8
MEASURE Istumakorkeus=26.3
MEASURE NaturalWAIST_Circ=75.4
MEASURE NaturalWaist_Height=105.3
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=72.4
MEASURE Shoulder_Width_ThruTheBody=32.6
MEASURE Overarm_Width_ThruTheBody=39.9
MEASURE Hip_2_Width_ThruTheBody=38.8
MEASURE Hip_2_Circ=101.1
MEASURE Hip_2_Height=79.0
