OPTION UNITS=cm
MEASURE Seat_Back_Angle=17.7
MEASURE Outseam=96.1
MEASURE Inseam=78.4
MEASURE CROTCH_Height=76.9
MEASURE TrouserWAIST_Circ=81.0
MEASURE HIP_Circ=94.6
MEASURE Knee_Height=31.0
MEASURE Calf_Height=44.8
MEASURE Waist_Height_Back_EZ=97.3
MEASURE TrouserWaist_Height_Back=97.0
MEASURE CrotchLength_Back=28.8
MEASURE CrotchLength_Front=23.2
MEASURE Ankle_Circ=22.60
MEASURE Head_Top_Height=159.4
MEASURE Hip_Height=83.9
MEASURE NeckBase_Circ=35.9
MEASURE Bust_to_Bust=17.2
MEASURE Underbust_Circ=76.8
MEASURE BUST_Circ=94.2
MEASURE Across_Back=35.4
MEASURE Shoulder_to_Shoulder=37.5
MEASURE Neck_Circ=30.5
MEASURE Knee_Circ=34.6
MEASURE Calf_Circ=36.3
MEASURE Bicep_Circ=27.0
MEASURE Elbow_Circ=22.3
MEASURE Wrist_Circ=15.0
MEASURE Shoulder_to_Wrist=55.1
MEASURE Shoulder_Length=10.8
MEASURE SideNeck_to_Bust=23.6
MEASURE NeckSide_to_Wrist=65.9
MEASURE NECK_Height=143.4
MEASURE Thigh_Circ=54.5
MEASURE Across_Front=39.7
MEASURE Shoulder_to_floor_Right=135.9
MEASURE Shoulder_to_floor_Left=136.9
MEASURE TopHip_Circ=81.2
MEASURE TrouserWaist_Height_Front=93.3
MEASURE Bust_Height=122.9
MEASURE Torso_Height=66.5
MEASURE Istumakorkeus=26.6
MEASURE NaturalWAIST_Circ=72.0
MEASURE NaturalWaist_Height=103.5
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=69.9
MEASURE Shoulder_Width_ThruTheBody=32.4
MEASURE Overarm_Width_ThruTheBody=40.7
MEASURE Hip_2_Width_ThruTheBody=37.4
MEASURE Hip_2_Circ=96.1
MEASURE Hip_2_Height=76.9
