OPTION UNITS=cm
MEASURE Seat_Back_Angle=22.0
MEASURE Outseam=96.4
MEASURE Inseam=71.9
MEASURE CROTCH_Height=70.7
MEASURE TrouserWAIST_Circ=97.5
MEASURE HIP_Circ=110.6
MEASURE Knee_Height=27.0
MEASURE Calf_Height=40.1
MEASURE Waist_Height_Back_EZ=98.9
MEASURE TrouserWaist_Height_Back=98.6
MEASURE CrotchLength_Back=39.2
MEASURE CrotchLength_Front=31.9
MEASURE Ankle_Circ=24.55
MEASURE Head_Top_Height=156.0
MEASURE Hip_Height=79.2
MEASURE NeckBase_Circ=34.1
MEASURE Bust_to_Bust=19.3
MEASURE Underbust_Circ=82.3
MEASURE BUST_Circ=97.5
MEASURE Across_Back=35.1
MEASURE Shoulder_to_Shoulder=40.0
MEASURE Neck_Circ=32.4
MEASURE Knee_Circ=38.1
MEASURE Calf_Circ=36.6
MEASURE Bicep_Circ=32.3
MEASURE Elbow_Circ=24.6
MEASURE Wrist_Circ=14.6
MEASURE Shoulder_to_Wrist=53.7
MEASURE Shoulder_Length=13.4
MEASURE SideNeck_to_Bust=30.2
MEASURE NeckSide_to_Wrist=67.2
MEASURE NECK_Height=137.2
MEASURE Thigh_Circ=62.0
MEASURE Across_Front=36.0
MEASURE Shoulder_to_floor_Right=130.4
MEASURE Shoulder_to_floor_Left=131.2
MEASURE TopHip_Circ=103.2
MEASURE TrouserWaist_Height_Front=93.0
MEASURE Bust_Height=111.2
MEASURE Torso_Height=66.5
MEASURE Istumakorkeus=26.6
MEASURE NaturalWAIST_Circ=95.3
MEASURE NaturalWaist_Height=97.3
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=62.9
MEASURE Shoulder_Width_ThruTheBody=35.3
MEASURE Overarm_Width_ThruTheBody=41.3
MEASURE Hip_2_Width_ThruTheBody=44.1
MEASURE Hip_2_Circ=113.6
MEASURE Hip_2_Height=72.7
