OPTION UNITS=cm
MEASURE Seat_Back_Angle=16.8
MEASURE Outseam=91.0
MEASURE Inseam=71.6
MEASURE CROTCH_Height=70.3
MEASURE TrouserWAIST_Circ=87.8
MEASURE HIP_Circ=101.0
MEASURE Knee_Height=27.5
MEASURE Calf_Height=40.3
MEASURE Waist_Height_Back_EZ=92.5
MEASURE TrouserWaist_Height_Back=92.1
MEASURE CrotchLength_Back=32.1
MEASURE CrotchLength_Front=23.8
MEASURE Ankle_Circ=25.27
MEASURE Head_Top_Height=153.8
MEASURE Hip_Height=78.3
MEASURE NeckBase_Circ=35.5
MEASURE Bust_to_Bust=14.2
MEASURE Underbust_Circ=80.9
MEASURE BUST_Circ=90.6
MEASURE Across_Back=35.0
MEASURE Shoulder_to_Shoulder=38.0
MEASURE Neck_Circ=34.0
MEASURE Knee_Circ=38.0
MEASURE Calf_Circ=34.6
MEASURE Bicep_Circ=30.7
MEASURE Elbow_Circ=24.7
MEASURE Wrist_Circ=17.0
MEASURE Shoulder_to_Wrist=53.4
MEASURE Shoulder_Length=12.6
MEASURE SideNeck_to_Bust=26.8
MEASURE NeckSide_to_Wrist=66.0
MEASURE NECK_Height=136.3
MEASURE Thigh_Circ=58.5
MEASURE Across_Front=37.3
MEASURE Shoulder_to_floor_Right=131.0
MEASURE Shoulder_to_floor_Left=130.8
MEASURE TopHip_Circ=92.1
MEASURE TrouserWaist_Height_Front=87.8
MEASURE Bust_Height=113.8
MEASURE Torso_Height=66.0
MEASURE Istumakorkeus=26.4
MEASURE NaturalWAIST_Circ=81.3
MEASURE NaturalWaist_Height=96.7
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=63.3
MEASURE Shoulder_Width_ThruTheBody=34.3
MEASURE Overarm_Width_ThruTheBody=40.7
MEASURE Hip_2_Width_ThruTheBody=40.1
MEASURE Hip_2_Circ=103.0
MEASURE Hip_2_Height=72.8
