OPTION UNITS=cm
MEASURE Seat_Back_Angle=19.8
MEASURE Outseam=102.3
MEASURE Inseam=82.8
MEASURE CROTCH_Height=81.7
MEASURE TrouserWAIST_Circ=84.2
MEASURE HIP_Circ=95.5
MEASURE Knee_Height=32.0
MEASURE Calf_Height=46.9
MEASURE Waist_Height_Back_EZ=103.7
MEASURE TrouserWaist_Height_Back=103.3
MEASURE CrotchLength_Back=30.0
MEASURE CrotchLength_Front=23.5
MEASURE Ankle_Circ=24.65
MEASURE Head_Top_Height=167.5
MEASURE Hip_Height=89.7
MEASURE NeckBase_Circ=36.9
MEASURE Bust_to_Bust=18.8
MEASURE Underbust_Circ=74.1
MEASURE BUST_Circ=89.1
MEASURE Across_Back=35.3
MEASURE Shoulder_to_Shoulder=37.3
MEASURE Neck_Circ=34.6
MEASURE Knee_Circ=36.1
MEASURE Calf_Circ=33.2
MEASURE Bicep_Circ=25.8
MEASURE Elbow_Circ=21.3
MEASURE Wrist_Circ=14.3
MEASURE Shoulder_to_Wrist=57.3
MEASURE Shoulder_Length=9.2
MEASURE SideNeck_to_Bust=24.6
MEASURE NeckSide_to_Wrist=66.5
MEASURE NECK_Height=145.7
MEASURE Thigh_Circ=52.7
MEASURE Across_Front=31.0
MEASURE Shoulder_to_floor_Right=139.9
MEASURE Shoulder_to_floor_Left=139.9
MEASURE TopHip_Circ=86.1
MEASURE TrouserWaist_Height_Front=99.4
MEASURE Bust_Height=124.7
MEASURE Torso_Height=64.0
MEASURE Istumakorkeus=25.6
MEASURE NaturalWAIST_Circ=75.6
MEASURE NaturalWaist_Height=107.3
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=73.7
MEASURE Shoulder_Width_ThruTheBody=30.3
MEASURE Overarm_Width_ThruTheBody=36.7
MEASURE Hip_2_Width_ThruTheBody=38.7
MEASURE Hip_2_Circ=98.3
MEASURE Hip_2_Height=81.7
