OPTION UNITS=cm
MEASURE Seat_Back_Angle=18.4
MEASURE Outseam=91.2
MEASURE Inseam=72.2
MEASURE CROTCH_Height=71.0
MEASURE TrouserWAIST_Circ=85.6
MEASURE HIP_Circ=100.7
MEASURE Knee_Height=29.0
MEASURE Calf_Height=41.6
MEASURE Waist_Height_Back_EZ=92.3
MEASURE TrouserWaist_Height_Back=92.6
MEASURE CrotchLength_Back=29.9
MEASURE CrotchLength_Front=23.2
MEASURE Ankle_Circ=24.51
MEASURE Head_Top_Height=155.3
MEASURE Hip_Height=79.5
MEASURE NeckBase_Circ=34.7
MEASURE Bust_to_Bust=17.0
MEASURE Underbust_Circ=76.5
MEASURE BUST_Circ=88.8
MEASURE Across_Back=32.6
MEASURE Shoulder_to_Shoulder=39.6
MEASURE Neck_Circ=32.5
MEASURE Knee_Circ=37.3
MEASURE Calf_Circ=38.1
MEASURE Bicep_Circ=31.0
MEASURE Elbow_Circ=24.3
MEASURE Wrist_Circ=16.3
MEASURE Shoulder_to_Wrist=54.1
MEASURE Shoulder_Length=13.2
MEASURE SideNeck_to_Bust=26.5
MEASURE NeckSide_to_Wrist=67.4
MEASURE NECK_Height=138.8
MEASURE Thigh_Circ=57.6
MEASURE Across_Front=37.0
MEASURE Shoulder_to_floor_Right=132.3
MEASURE Shoulder_to_floor_Left=131.5
MEASURE TopHip_Circ=90.0
MEASURE TrouserWaist_Height_Front=88.1
MEASURE Bust_Height=115.5
MEASURE Torso_Height=67.8
MEASURE Istumakorkeus=27.1
MEASURE NaturalWAIST_Circ=77.0
MEASURE NaturalWaist_Height=98.1
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=63.0
MEASURE Shoulder_Width_ThruTheBody=34.8
MEASURE Overarm_Width_ThruTheBody=40.4
MEASURE Hip_2_Width_ThruTheBody=41.9
MEASURE Hip_2_Circ=104.4
MEASURE Hip_2_Height=71.0
