OPTION UNITS=cm
MEASURE Seat_Back_Angle=15.8
MEASURE Outseam=95.2
MEASURE Inseam=76.8
MEASURE CROTCH_Height=75.1
MEASURE TrouserWAIST_Circ=82.8
MEASURE HIP_Circ=93.8
MEASURE Knee_Height=30.0
MEASURE Calf_Height=43.5
MEASURE Waist_Height_Back_EZ=96.6
MEASURE TrouserWaist_Height_Back=96.1
MEASURE CrotchLength_Back=28.5
MEASURE CrotchLength_Front=24.0
MEASURE Ankle_Circ=22.70
MEASURE Head_Top_Height=161.3
MEASURE Hip_Height=82.6
MEASURE NeckBase_Circ=34.0
MEASURE Bust_to_Bust=18.5
MEASURE Underbust_Circ=76.9
MEASURE BUST_Circ=89.9
MEASURE Across_Back=32.5
MEASURE Shoulder_to_Shoulder=38.8
MEASURE Neck_Circ=31.8
MEASURE Knee_Circ=32.8
MEASURE Calf_Circ=32.8
MEASURE Bicep_Circ=27.1
MEASURE Elbow_Circ=22.2
MEASURE Wrist_Circ=15.1
MEASURE Shoulder_to_Wrist=56.1
MEASURE Shoulder_Length=13.0
MEASURE SideNeck_to_Bust=26.0
MEASURE NeckSide_to_Wrist=69.1
MEASURE NECK_Height=139.9
MEASURE Thigh_Circ=50.1
MEASURE Across_Front=40.3
MEASURE Shoulder_to_floor_Right=134.6
MEASURE Shoulder_to_floor_Left=133.6
MEASURE TopHip_Circ=85.3
MEASURE TrouserWaist_Height_Front=92.0
MEASURE Bust_Height=118.6
MEASURE Torso_Height=64.8
MEASURE Istumakorkeus=25.9
MEASURE NaturalWAIST_Circ=76.5
MEASURE NaturalWaist_Height=101.0
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=66.9
MEASURE Shoulder_Width_ThruTheBody=34.5
MEASURE Overarm_Width_ThruTheBody=40.8
MEASURE Hip_2_Width_ThruTheBody=37.7
MEASURE Hip_2_Circ=96.3
MEASURE Hip_2_Height=75.6
