OPTION UNITS=cm
MEASURE Seat_Back_Angle=11.7
MEASURE Outseam=99.2
MEASURE Inseam=80.2
MEASURE CROTCH_Height=78.8
MEASURE TrouserWAIST_Circ=88.4
MEASURE HIP_Circ=94.3
MEASURE Knee_Height=32.0
MEASURE Calf_Height=46.0
MEASURE Waist_Height_Back_EZ=100.9
MEASURE TrouserWaist_Height_Back=100.3
MEASURE CrotchLength_Back=30.1
MEASURE CrotchLength_Front=24.7
MEASURE Ankle_Circ=23.05
MEASURE Head_Top_Height=166.0
MEASURE Hip_Height=86.3
MEASURE NeckBase_Circ=35.3
MEASURE Bust_to_Bust=20.9
MEASURE Underbust_Circ=78.6
MEASURE BUST_Circ=91.0
MEASURE Across_Back=35.3
MEASURE Shoulder_to_Shoulder=40.1
MEASURE Neck_Circ=30.6
MEASURE Knee_Circ=34.8
MEASURE Calf_Circ=32.2
MEASURE Bicep_Circ=26.9
MEASURE Elbow_Circ=22.3
MEASURE Wrist_Circ=16.1
MEASURE Shoulder_to_Wrist=59.8
MEASURE Shoulder_Length=11.8
MEASURE SideNeck_to_Bust=24.9
MEASURE NeckSide_to_Wrist=71.6
MEASURE NECK_Height=145.1
MEASURE Thigh_Circ=52.9
MEASURE Across_Front=36.6
MEASURE Shoulder_to_floor_Right=139.3
MEASURE Shoulder_to_floor_Left=138.8
MEASURE TopHip_Circ=90.1
MEASURE TrouserWaist_Height_Front=96.7
MEASURE Bust_Height=122.3
MEASURE Torso_Height=66.3
MEASURE Istumakorkeus=26.5
MEASURE NaturalWAIST_Circ=79.3
MEASURE NaturalWaist_Height=105.3
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=70.6
MEASURE Shoulder_Width_ThruTheBody=34.7
MEASURE Overarm_Width_ThruTheBody=41.1
MEASURE Hip_2_Width_ThruTheBody=37.2
MEASURE Hip_2_Circ=95.6
MEASURE Hip_2_Height=78.8
