OPTION UNITS=cm
MEASURE Seat_Back_Angle=17.3
MEASURE Outseam=90.1
MEASURE Inseam=70.8
MEASURE CROTCH_Height=70.0
MEASURE TrouserWAIST_Circ=86.8
MEASURE HIP_Circ=96.6
MEASURE Knee_Height=28.0
MEASURE Calf_Height=40.6
MEASURE Waist_Height_Back_EZ=91.7
MEASURE TrouserWaist_Height_Back=91.2
MEASURE CrotchLength_Back=29.6
MEASURE CrotchLength_Front=23.2
MEASURE Ankle_Circ=23.31
MEASURE Head_Top_Height=157.8
MEASURE Hip_Height=78.0
MEASURE NeckBase_Circ=36.6
MEASURE Bust_to_Bust=18.7
MEASURE Underbust_Circ=75.1
MEASURE BUST_Circ=94.4
MEASURE Across_Back=35.9
MEASURE Shoulder_to_Shoulder=38.3
MEASURE Neck_Circ=33.9
MEASURE Knee_Circ=34.5
MEASURE Calf_Circ=32.6
MEASURE Bicep_Circ=27.8
MEASURE Elbow_Circ=22.0
MEASURE Wrist_Circ=15.4
MEASURE Shoulder_to_Wrist=51.7
MEASURE Shoulder_Length=12.4
MEASURE SideNeck_to_Bust=26.1
MEASURE NeckSide_to_Wrist=64.1
MEASURE NECK_Height=137.5
MEASURE Thigh_Circ=52.9
MEASURE Across_Front=36.3
MEASURE Shoulder_to_floor_Right=131.8
MEASURE Shoulder_to_floor_Left=131.8
MEASURE TopHip_Circ=91.1
MEASURE TrouserWaist_Height_Front=87.1
MEASURE Bust_Height=115.5
MEASURE Torso_Height=67.5
MEASURE Istumakorkeus=27.0
MEASURE NaturalWAIST_Circ=78.8
MEASURE NaturalWaist_Height=97.0
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=61.9
MEASURE Shoulder_Width_ThruTheBody=34.2
MEASURE Overarm_Width_ThruTheBody=39.9
MEASURE Hip_2_Width_ThruTheBody=38.7
MEASURE Hip_2_Circ=98.9
MEASURE Hip_2_Height=71.5
