OPTION UNITS=cm
MEASURE Seat_Back_Angle=13.5
MEASURE Outseam=95.7
MEASURE Inseam=77.0
MEASURE CROTCH_Height=75.5
MEASURE TrouserWAIST_Circ=90.2
MEASURE HIP_Circ=95.5
MEASURE Knee_Height=31.0
MEASURE Calf_Height=44.4
MEASURE Waist_Height_Back_EZ=97.6
MEASURE TrouserWaist_Height_Back=97.2
MEASURE CrotchLength_Back=29.9
MEASURE CrotchLength_Front=24.0
MEASURE Ankle_Circ=22.61
MEASURE Head_Top_Height=158.3
MEASURE Hip_Height=85.0
MEASURE NeckBase_Circ=38.0
MEASURE Bust_to_Bust=19.2
MEASURE Underbust_Circ=81.9
MEASURE BUST_Circ=96.4
MEASURE Across_Back=36.3
MEASURE Shoulder_to_Shoulder=39.4
MEASURE Neck_Circ=36.6
MEASURE Knee_Circ=35.2
MEASURE Calf_Circ=33.8
MEASURE Bicep_Circ=28.9
MEASURE Elbow_Circ=24.4
MEASURE Wrist_Circ=14.9
MEASURE Shoulder_to_Wrist=56.6
MEASURE Shoulder_Length=11.5
MEASURE SideNeck_to_Bust=26.6
MEASURE NeckSide_to_Wrist=68.1
MEASURE NECK_Height=141.0
MEASURE Thigh_Circ=54.9
MEASURE Across_Front=38.9
MEASURE Shoulder_to_floor_Right=136.3
MEASURE Shoulder_to_floor_Left=136.5
MEASURE TopHip_Circ=92.8
MEASURE TrouserWaist_Height_Front=92.8
MEASURE Bust_Height=119.0
MEASURE Torso_Height=65.5
MEASURE Istumakorkeus=26.2
MEASURE NaturalWAIST_Circ=85.1
MEASURE NaturalWaist_Height=101.7
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=68.2
MEASURE Shoulder_Width_ThruTheBody=35.2
MEASURE Overarm_Width_ThruTheBody=43.5
MEASURE Hip_2_Width_ThruTheBody=38.5
MEASURE Hip_2_Circ=97.1
MEASURE Hip_2_Height=76.0
