OPTION UNITS=cm
MEASURE Seat_Back_Angle=19.7
MEASURE Outseam=96.5
MEASURE Inseam=76.6
MEASURE CROTCH_Height=75.2
MEASURE TrouserWAIST_Circ=91.5
MEASURE HIP_Circ=101.4
MEASURE Knee_Height=31.5
MEASURE Calf_Height=44.6
MEASURE Waist_Height_Back_EZ=98.5
MEASURE TrouserWaist_Height_Back=98.4
MEASURE CrotchLength_Back=33.7
MEASURE CrotchLength_Front=26.1
MEASURE Ankle_Circ=25.90
MEASURE Head_Top_Height=156.6
MEASURE Hip_Height=82.7
MEASURE NeckBase_Circ=34.8
MEASURE Bust_to_Bust=20.0
MEASURE Underbust_Circ=85.7
MEASURE BUST_Circ=100.1
MEASURE Across_Back=36.9
MEASURE Shoulder_to_Shoulder=38.5
MEASURE Neck_Circ=33.1
MEASURE Knee_Circ=39.6
MEASURE Calf_Circ=38.7
MEASURE Bicep_Circ=31.8
MEASURE Elbow_Circ=25.2
MEASURE Wrist_Circ=16.0
MEASURE Shoulder_to_Wrist=55.5
MEASURE Shoulder_Length=11.9
MEASURE SideNeck_to_Bust=25.0
MEASURE NeckSide_to_Wrist=67.4
MEASURE NECK_Height=139.9
MEASURE Thigh_Circ=59.6
MEASURE Across_Front=34.0
MEASURE Shoulder_to_floor_Right=135.2
MEASURE Shoulder_to_floor_Left=134.2
MEASURE TopHip_Circ=91.5
MEASURE TrouserWaist_Height_Front=93.6
MEASURE Bust_Height=120.2
MEASURE Torso_Height=64.8
MEASURE Istumakorkeus=25.9
MEASURE NaturalWAIST_Circ=81.7
MEASURE NaturalWaist_Height=101.1
MEASURE Thigh_Height=3.5
MEASURE Ankle_Height=67.3
MEASURE Shoulder_Width_ThruTheBody=32.7
MEASURE Overarm_Width_ThruTheBody=38.4
MEASURE Hip_2_Width_ThruTheBody=40.9
MEASURE Hip_2_Circ=103.9
MEASURE Hip_2_Height=75.2
