OPTION UNITS=cm
MEASURE Seat_Back_Angle=21.7
MEASURE Outseam=91.1
MEASURE Inseam=71.4
MEASURE CROTCH_Height=70.0
MEASURE TrouserWAIST_Circ=71.3
MEASURE HIP_Circ=84.9
MEASURE Knee_Height=28.0
MEASURE Calf_Height=40.6
MEASURE Waist_Height_Back_EZ=92.8
MEASURE TrouserWaist_Height_Back=92.6
MEASURE CrotchLength_Back=28.5
MEASURE CrotchLength_Front=24.7
MEASURE Ankle_Circ=22.03
MEASURE Head_Top_Height=154.0
MEASURE Hip_Height=78.0
MEASURE NeckBase_Circ=33.5
MEASURE Bust_to_Bust=17.5
MEASURE Underbust_Circ=70.6
MEASURE BUST_Circ=81.6
MEASURE Across_Back=31.2
MEASURE Shoulder_to_Shoulder=34.6
MEASURE Neck_Circ=30.6
MEASURE Knee_Circ=32.3
MEASURE Calf_Circ=31.3
MEASURE Bicep_Circ=23.4
MEASURE Elbow_Circ=20.7
MEASURE Wrist_Circ=13.2
MEASURE Shoulder_to_Wrist=51.7
MEASURE Shoulder_Length=10.9
MEASURE SideNeck_to_Bust=26.2
MEASURE NeckSide_to_Wrist=62.6
MEASURE NECK_Height=136.5
MEASURE Thigh_Circ=45.8
MEASURE Across_Front=30.8
MEASURE Shoulder_to_floor_Right=131.2
MEASURE Shoulder_to_floor_Left=131.5
MEASURE TopHip_Circ=75.4
MEASURE TrouserWaist_Height_Front=88.7
MEASURE Bust_Height=113.5
MEASURE Torso_Height=66.5
MEASURE Istumakorkeus=26.6
MEASURE NaturalWAIST_Circ=65.3
MEASURE NaturalWaist_Height=96.6
MEASURE Thigh_Height=3.0
MEASURE Ankle_Height=62.0
MEASURE Shoulder_Width_ThruTheBody=30.3
MEASURE Overarm_Width_ThruTheBody=35.3
MEASURE Hip_2_Width_ThruTheBody=33.9
MEASURE Hip_2_Circ=85.5
MEASURE Hip_2_Height=70.0
