OPTION UNITS=cm
MEASURE Seat_Back_Angle=22.8
MEASURE Outseam=93.9
MEASURE Inseam=70.5
MEASURE CROTCH_Height=69.3
MEASURE TrouserWAIST_Circ=82.0
MEASURE HIP_Circ=99.8
MEASURE Knee_Height=25.0
MEASURE Calf_Height=38.3
MEASURE Waist_Height_Back_EZ=95.0
MEASURE TrouserWaist_Height_Back=95.6
MEASURE CrotchLength_Back=34.6
MEASURE CrotchLength_Front=28.7
MEASURE Ankle_Circ=23.98
MEASURE Head_Top_Height=153.9
MEASURE Hip_Height=80.3
MEASURE NeckBase_Circ=36.0
MEASURE Bust_to_Bust=20.6
MEASURE Underbust_Circ=84.7
MEASURE BUST_Circ=101.6
MEASURE Across_Back=34.9
MEASURE Shoulder_to_Shoulder=41.1
MEASURE Neck_Circ=33.4
MEASURE Knee_Circ=38.6
MEASURE Calf_Circ=37.8
MEASURE Bicep_Circ=30.5
MEASURE Elbow_Circ=23.8
MEASURE Wrist_Circ=15.3
MEASURE Shoulder_to_Wrist=50.5
MEASURE Shoulder_Length=13.1
MEASURE SideNeck_to_Bust=27.7
MEASURE NeckSide_to_Wrist=63.6
MEASURE NECK_Height=133.8
MEASURE Thigh_Circ=59.2
MEASURE Across_Front=42.4
MEASURE Shoulder_to_floor_Right=128.3
MEASURE Shoulder_to_floor_Left=127.8
MEASURE TopHip_Circ=95.6
MEASURE TrouserWaist_Height_Front=90.4
MEASURE Bust_Height=113.8
MEASURE Torso_Height=64.5
MEASURE Istumakorkeus=25.8
MEASURE NaturalWAIST_Circ=81.5
MEASURE NaturalWaist_Height=95.1
MEASURE Thigh_Height=3.0
MEASURE Ankle_Height=62.4
MEASURE Shoulder_Width_ThruTheBody=35.3
MEASURE Overarm_Width_ThruTheBody=40.9
MEASURE Hip_2_Width_ThruTheBody=39.4
MEASURE Hip_2_Circ=104.0
MEASURE Hip_2_Height=71.3
