OPTION UNITS=cm
MEASURE Seat_Back_Angle=21.3
MEASURE Outseam=94.7
MEASURE Inseam=73.2
MEASURE CROTCH_Height=71.5
MEASURE TrouserWAIST_Circ=82.9
MEASURE HIP_Circ=98.7
MEASURE Knee_Height=29.0
MEASURE Calf_Height=41.7
MEASURE Waist_Height_Back_EZ=96.4
MEASURE TrouserWaist_Height_Back=96.1
MEASURE CrotchLength_Back=33.9
MEASURE CrotchLength_Front=26.2
MEASURE Ankle_Circ=21.91
MEASURE Head_Top_Height=149.8
MEASURE Hip_Height=80.0
MEASURE NeckBase_Circ=33.8
MEASURE Bust_to_Bust=17.3
MEASURE Underbust_Circ=80.7
MEASURE BUST_Circ=87.8
MEASURE Across_Back=33.4
MEASURE Shoulder_to_Shoulder=35.7
MEASURE Neck_Circ=31.9
MEASURE Knee_Circ=34.3
MEASURE Calf_Circ=34.8
MEASURE Bicep_Circ=27.5
MEASURE Elbow_Circ=22.6
MEASURE Wrist_Circ=14.4
MEASURE Shoulder_to_Wrist=54.3
MEASURE Shoulder_Length=12.5
MEASURE SideNeck_to_Bust=28.7
MEASURE NeckSide_to_Wrist=66.7
MEASURE NECK_Height=137.4
MEASURE Thigh_Circ=57.2
MEASURE Across_Front=32.8
MEASURE Shoulder_to_floor_Right=131.4
MEASURE Shoulder_to_floor_Left=132.2
MEASURE TopHip_Circ=88.9
MEASURE TrouserWaist_Height_Front=91.7
MEASURE Bust_Height=114.0
MEASURE Torso_Height=66.0
MEASURE Istumakorkeus=26.4
MEASURE NaturalWAIST_Circ=75.1
MEASURE NaturalWaist_Height=97.8
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=64.3
MEASURE Shoulder_Width_ThruTheBody=31.7
MEASURE Overarm_Width_ThruTheBody=41.4
MEASURE Hip_2_Width_ThruTheBody=41.0
MEASURE Hip_2_Circ=103.1
MEASURE Hip_2_Height=73.0
