OPTION UNITS=cm
MEASURE Seat_Back_Angle=17.1
MEASURE Outseam=92.5
MEASURE Inseam=72.3
MEASURE CROTCH_Height=71.4
MEASURE TrouserWAIST_Circ=91.6
MEASURE HIP_Circ=102.5
MEASURE Knee_Height=26.0
MEASURE Calf_Height=39.6
MEASURE Waist_Height_Back_EZ=94.2
MEASURE TrouserWaist_Height_Back=94.1
MEASURE CrotchLength_Back=32.4
MEASURE CrotchLength_Front=24.1
MEASURE Ankle_Circ=23.35
MEASURE Head_Top_Height=155.3
MEASURE Hip_Height=82.4
MEASURE NeckBase_Circ=36.8
MEASURE Bust_to_Bust=17.0
MEASURE Underbust_Circ=84.0
MEASURE BUST_Circ=92.9
MEASURE Across_Back=34.8
MEASURE Shoulder_to_Shoulder=39.9
MEASURE Neck_Circ=34.8
MEASURE Knee_Circ=37.0
MEASURE Calf_Circ=35.5
MEASURE Bicep_Circ=30.5
MEASURE Elbow_Circ=24.4
MEASURE Wrist_Circ=16.1
MEASURE Shoulder_to_Wrist=52.7
MEASURE Shoulder_Length=12.2
MEASURE SideNeck_to_Bust=27.0
MEASURE NeckSide_to_Wrist=64.9
MEASURE NECK_Height=139.6
MEASURE Thigh_Circ=56.4
MEASURE Across_Front=35.8
MEASURE Shoulder_to_floor_Right=132.9
MEASURE Shoulder_to_floor_Left=133.4
MEASURE TopHip_Circ=96.7
MEASURE TrouserWaist_Height_Front=89.3
MEASURE Bust_Height=115.9
MEASURE Torso_Height=68.3
MEASURE Istumakorkeus=27.3
MEASURE NaturalWAIST_Circ=88.5
MEASURE NaturalWaist_Height=98.7
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=62.8
MEASURE Shoulder_Width_ThruTheBody=34.0
MEASURE Overarm_Width_ThruTheBody=42.4
MEASURE Hip_2_Width_ThruTheBody=41.2
MEASURE Hip_2_Circ=106.0
MEASURE Hip_2_Height=76.4
