OPTION UNITS=cm
MEASURE Seat_Back_Angle=20.6
MEASURE Outseam=95.1
MEASURE Inseam=77.8
MEASURE CROTCH_Height=76.5
MEASURE TrouserWAIST_Circ=83.3
MEASURE HIP_Circ=97.7
MEASURE Knee_Height=31.5
MEASURE Calf_Height=45.0
MEASURE Waist_Height_Back_EZ=96.3
MEASURE TrouserWaist_Height_Back=96.0
MEASURE CrotchLength_Back=29.1
MEASURE CrotchLength_Front=23.1
MEASURE Ankle_Circ=25.44
MEASURE Head_Top_Height=156.6
MEASURE Hip_Height=84.0
MEASURE NeckBase_Circ=33.7
MEASURE Bust_to_Bust=19.0
MEASURE Underbust_Circ=75.0
MEASURE BUST_Circ=96.0
MEASURE Across_Back=33.8
MEASURE Shoulder_to_Shoulder=38.7
MEASURE Neck_Circ=30.5
MEASURE Knee_Circ=34.7
MEASURE Calf_Circ=37.2
MEASURE Bicep_Circ=29.9
MEASURE Elbow_Circ=23.0
MEASURE Wrist_Circ=15.4
MEASURE Shoulder_to_Wrist=57.8
MEASURE Shoulder_Length=12.2
MEASURE SideNeck_to_Bust=24.9
MEASURE NeckSide_to_Wrist=69.9
MEASURE NECK_Height=142.2
MEASURE Thigh_Circ=58.2
MEASURE Across_Front=38.3
MEASURE Shoulder_to_floor_Right=134.5
MEASURE Shoulder_to_floor_Left=135.5
MEASURE TopHip_Circ=82.8
MEASURE TrouserWaist_Height_Front=91.7
MEASURE Bust_Height=121.0
MEASURE Torso_Height=65.8
MEASURE Istumakorkeus=26.3
MEASURE NaturalWAIST_Circ=77.0
MEASURE NaturalWaist_Height=102.8
MEASURE Thigh_Height=3.5
MEASURE Ankle_Height=69.6
MEASURE Shoulder_Width_ThruTheBody=33.1
MEASURE Overarm_Width_ThruTheBody=39.1
MEASURE Hip_2_Width_ThruTheBody=39.9
MEASURE Hip_2_Circ=102.4
MEASURE Hip_2_Height=77.0
