OPTION UNITS=cm
MEASURE Seat_Back_Angle=22.0
MEASURE Outseam=102.3
MEASURE Inseam=80.8
MEASURE CROTCH_Height=79.6
MEASURE TrouserWAIST_Circ=90.0
MEASURE HIP_Circ=100.3
MEASURE Knee_Height=31.0
MEASURE Calf_Height=45.6
MEASURE Waist_Height_Back_EZ=104.6
MEASURE TrouserWaist_Height_Back=103.4
MEASURE CrotchLength_Back=33.5
MEASURE CrotchLength_Front=25.6
MEASURE Ankle_Circ=23.52
MEASURE Head_Top_Height=160.8
MEASURE Hip_Height=86.6
MEASURE NeckBase_Circ=36.1
MEASURE Bust_to_Bust=22.3
MEASURE Underbust_Circ=81.6
MEASURE BUST_Circ=98.0
MEASURE Across_Back=33.0
MEASURE Shoulder_to_Shoulder=41.1
MEASURE Neck_Circ=33.0
MEASURE Knee_Circ=37.9
MEASURE Calf_Circ=35.0
MEASURE Bicep_Circ=29.9
MEASURE Elbow_Circ=26.2
MEASURE Wrist_Circ=16.1
MEASURE Shoulder_to_Wrist=56.9
MEASURE Shoulder_Length=13.1
MEASURE SideNeck_to_Bust=29.7
MEASURE NeckSide_to_Wrist=70.1
MEASURE NECK_Height=146.3
MEASURE Thigh_Circ=58.2
MEASURE Across_Front=39.7
MEASURE Shoulder_to_floor_Right=140.3
MEASURE Shoulder_to_floor_Left=141.1
MEASURE TopHip_Circ=93.0
MEASURE TrouserWaist_Height_Front=99.4
MEASURE Bust_Height=120.6
MEASURE Torso_Height=66.8
MEASURE Istumakorkeus=26.7
MEASURE NaturalWAIST_Circ=82.8
MEASURE NaturalWaist_Height=106.3
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=71.7
MEASURE Shoulder_Width_ThruTheBody=37.0
MEASURE Overarm_Width_ThruTheBody=43.3
MEASURE Hip_2_Width_ThruTheBody=40.0
MEASURE Hip_2_Circ=104.0
MEASURE Hip_2_Height=79.6
