OPTION UNITS=cm
MEASURE Seat_Back_Angle=17.3
MEASURE Outseam=94.2
MEASURE Inseam=74.9
MEASURE CROTCH_Height=73.9
MEASURE TrouserWAIST_Circ=77.9
MEASURE HIP_Circ=88.7
MEASURE Knee_Height=29.0
MEASURE Calf_Height=42.5
MEASURE Waist_Height_Back_EZ=95.5
MEASURE TrouserWaist_Height_Back=95.4
MEASURE CrotchLength_Back=30.5
MEASURE CrotchLength_Front=23.4
MEASURE Ankle_Circ=25.27
MEASURE Head_Top_Height=150.3
MEASURE Hip_Height=82.4
MEASURE NeckBase_Circ=35.2
MEASURE Bust_to_Bust=18.7
MEASURE Underbust_Circ=77.1
MEASURE BUST_Circ=84.0
MEASURE Across_Back=32.7
MEASURE Shoulder_to_Shoulder=36.9
MEASURE Neck_Circ=33.7
MEASURE Knee_Circ=35.7
MEASURE Calf_Circ=33.8
MEASURE Bicep_Circ=24.1
MEASURE Elbow_Circ=23.1
MEASURE Wrist_Circ=14.9
MEASURE Shoulder_to_Wrist=53.7
MEASURE Shoulder_Length=12.1
MEASURE SideNeck_to_Bust=25.5
MEASURE NeckSide_to_Wrist=65.8
MEASURE NECK_Height=134.9
MEASURE Thigh_Circ=51.0
MEASURE Across_Front=40.4
MEASURE Shoulder_to_floor_Right=128.7
MEASURE Shoulder_to_floor_Left=128.2
MEASURE TopHip_Circ=80.4
MEASURE TrouserWaist_Height_Front=91.4
MEASURE Bust_Height=114.4
MEASURE Torso_Height=61.0
MEASURE Istumakorkeus=24.4
MEASURE NaturalWAIST_Circ=73.3
MEASURE NaturalWaist_Height=98.3
MEASURE Thigh_Height=3.5
MEASURE Ankle_Height=66.9
MEASURE Shoulder_Width_ThruTheBody=32.4
MEASURE Overarm_Width_ThruTheBody=37.3
MEASURE Hip_2_Width_ThruTheBody=35.7
MEASURE Hip_2_Circ=91.1
MEASURE Hip_2_Height=77.9
