OPTION UNITS=cm
MEASURE Seat_Back_Angle=22.1
MEASURE Outseam=94.7
MEASURE Inseam=75.4
MEASURE CROTCH_Height=74.3
MEASURE TrouserWAIST_Circ=76.1
MEASURE HIP_Circ=90.8
MEASURE Knee_Height=30.0
MEASURE Calf_Height=43.3
MEASURE Waist_Height_Back_EZ=96.4
MEASURE TrouserWaist_Height_Back=95.9
MEASURE CrotchLength_Back=28.7
MEASURE CrotchLength_Front=23.7
MEASURE Ankle_Circ=22.02
MEASURE Head_Top_Height=156.6
MEASURE Hip_Height=82.8
MEASURE NeckBase_Circ=34.3
MEASURE Bust_to_Bust=16.6
MEASURE Underbust_Circ=75.1
MEASURE BUST_Circ=86.8
MEASURE Across_Back=30.9
MEASURE Shoulder_to_Shoulder=37.9
MEASURE Neck_Circ=30.8
MEASURE Knee_Circ=34.7
MEASURE Calf_Circ=34.8
MEASURE Bicep_Circ=26.5
MEASURE Elbow_Circ=22.7
MEASURE Wrist_Circ=14.9
MEASURE Shoulder_to_Wrist=53.9
MEASURE Shoulder_Length=11.6
MEASURE SideNeck_to_Bust=26.5
MEASURE NeckSide_to_Wrist=65.5
MEASURE NECK_Height=139.6
MEASURE Thigh_Circ=50.5
MEASURE Across_Front=38.3
MEASURE Shoulder_to_floor_Right=133.1
MEASURE Shoulder_to_floor_Left=132.3
MEASURE TopHip_Circ=79.5
MEASURE TrouserWaist_Height_Front=92.3
MEASURE Bust_Height=117.8
MEASURE Torso_Height=65.3
MEASURE Istumakorkeus=26.1
MEASURE NaturalWAIST_Circ=69.8
MEASURE NaturalWaist_Height=100.4
MEASURE Thigh_Height=4.0
MEASURE Ankle_Height=66.8
MEASURE Shoulder_Width_ThruTheBody=31.9
MEASURE Overarm_Width_ThruTheBody=38.8
MEASURE Hip_2_Width_ThruTheBody=36.7
MEASURE Hip_2_Circ=94.3
MEASURE Hip_2_Height=74.3
